"id","name","origin","move_id"
299623,"DO1208W0009-ST","ล้างรถ 2/08/2012",379247
299626,"DO1208W0010-ST","FRGR 2/08/2012",379248
300257,"DO1208W0011-ST","GR 03/08/55",379249
300260,"DO1208W0012-ST","BP 03/08/55",379250
300268,"DO1208W0014-ST","GR 4/08/2012",379251
300277,"DO1208W0015-ST","ล้างรถ 4/08/2012",379252
300278,"DO1208W0016-ST","BP 4/08/2012",379253
300283,"DO1208W0017-ST","GR 5/08/2012",379254
300325,"DO1208W0018-ST","GR 6/08/2012",379255
300330,"DO1208W0019-ST","BP 6/08/2012",379256
304808,"DO1208W0020-ST","GR 07/08/2012",379313
304829,"DO1208W0021-ST","FRGR 07/08/2012",379314
304834,"DO1208W0022-ST","แม่บ้าน 07/08/2012",379315
304857,"DO1208W0023-ST","ล้างรถ 07/08/2012",379316
304904,"DO1208W0024-ST","BP 07/08/2012",379317
304918,"DO1208W0025-ST","PDI 07/08/2012",379312
304924,"DO1208W0026-ST","GR 08/08/2012",379318
304952,"DO1208W0027-ST","ล้างรถ 08/08/2012",379319
304961,"DO1208W0028-ST","BP 08/08/2012",379320
305031,"DO1208W0029-ST","GR 09/08/2012",379321
305040,"DO1208W0030-ST","อะไหล่ 09/08/2012",379322
305043,"DO1208W0031-ST","BP 09/08/2012",379323
308827,"DO1208W0032-ST","GR 10/08/2012",379324
308866,"DO1208W0033-ST","BP 10/08/2012",379325
308905,"DO1208W0034-ST","GR 11/08/2012",379326
308915,"DO1208W0035-ST","BP 11/08/2012",379327
308945,"DO1208W0036-ST","GR 12/08/2012",379328
308948,"DO1208W0037-ST","GR 12/08/20125",379329
308974,"DO1208W0038-ST","BP 13/08/2012",379330
308977,"DO1208W0039-ST","PDI 13/08/2012",379331
309819,"DO1208W0040-ST","GR 14/08/2012",379332
309828,"DO1208W0041-ST","FRGR 14/08/2012",379333
309831,"DO1208W0042-ST","อะไหล่ 14/08/2012",379334
309832,"DO1208W0043-ST","BP 14/08/2012",379335
310669,"DO1208W0046-ST","GR 15/08/2012",379349
310675,"DO1208W0047-ST","ล้างรถ 15/08/2012",379350
310679,"DO1208W0048-ST","PDI 15/08/2012",379351
310680,"DO1208W0049-ST","BP 15/08/2012",379353
311598,"DO1208W0050-ST","อะไหล่ 16/08/2012",379370
311600,"DO1208W0052-ST","ล้างรถ 16/08/2012",379371
311603,"DO1208W0053-ST","GR 16/08/2012",379372
311606,"DO1208W0054-ST","BP 16/08/2012",379373
312532,"DO1208W0055-ST","อะไหล่ 17/08/2012",379406
312533,"DO1208W0056-ST","FRGR 17/08/2012",379407
312534,"DO1208W0057-ST","GR 17/08/2012",379408
312535,"DO1208W0058-ST","BP 17/08/2012",379409
315254,"DO1208W0059-ST","GR 18/08/2012",379425
